Filename,Page,"Area (Top, Left, Bottom, Right)",Column Boundaries
Route A Fri.pdf,1,"108,0,732,306",auto
Route A Fri.pdf,1,"108,306,732,612",auto
Route A Mon-Thurs.pdf,1,"108,0,732,306",auto
Route A Mon-Thurs.pdf,1,"108,306,732,612",auto
Route A Weekend.pdf,1,"108,0,732,306",auto
Route A Weekend.pdf,1,"108,306,732,612",auto
Route B Fri.pdf,1,"82,0,732,612",auto
Route B Mon-Thurs.pdf,1,"82,0,732,612",auto
Route C Mon-Thurs.pdf,1,"98,0,555,792",auto
Route E Fri.pdf,1,"80,0,732,612","83,129,172,218,266,314,348,390,427,475,527"
Route E Mon-Thurs.pdf,1,"80,0,732,612","136,176,213,252,292,334,364,395,434,472"
Route F Mon-Thurs.pdf,1,"77,0,732,612",stream
Route G Fri.pdf,1,"116,0,732,612",auto
Route G Mon-Thurs.pdf,1,"116,0,732,612",auto
Route G Weekend.pdf,1,"116,0,732,612",auto
Route W Sat-Sun.pdf,1,"75,0,570,792",auto
